empresa_id,fecha_fundacion,cnae,cp,base_revenue,cagr_10y_pct
5000001,2007-02-01,4941,23065,210739,-2.88
10286066,2005-12-28,6190,38879,666893,10.33
10423995,1996-03-12,8531,49416,535673,-0.18
5000002,2010-02-19,2433,39453,435944,0.64
12313631,2018-12-15,8622,26631,567352,14.46
5405289,2016-01-20,8552,32028,678357,-0.19
13444033,2014-10-03,3211,04737,188747,-4.1
7181691,2007-03-16,6622,07841,630113,10.12
5000003,2013-10-09,5510,16905,994878,12.83
11329618,1992-02-04,4729,23571,673362,6.41
14489552,2020-09-16,4649,46497,752272,7.36
7185373,1984-02-12,6920,35719,259171,3.55
9095396,2016-10-02,7311,12797,933976,1.84
14876778,2011-08-28,0149,02657,984950,10.4
13598695,2007-05-06,8610,11000,871668,-3.67
4562105,2024-04-24,4711,50402,452060,-0.8
5713408,2022-06-25,8129,38101,838368,8.46
14605547,2012-02-29,8720,24015,402445,10.84
13344490,2020-05-22,4791,07415,177464,2.96
11379350,2001-08-08,7211,20089,67461,-0.62
4897723,2025-04-07,6910,36871,611364,-4.26
5000004,2019-09-18,4719,04917,114461,0.67
15732149,2013-06-13,6202,43903,330097,6.22
6408712,2021-02-04,3299,02164,520014,1.8
14006566,,4321,29505,601835,14.93
8167572,2024-05-01,2740,08580,537118,14.4
5000005,2005-11-09,8010,26917,388349,5.05
16384744,2008-08-01,7420,31745,208767,-3.5
5000006,2011-09-11,1107,24653,730596,4.67
7350499,2019-01-06,4211,29834,660649,14.17
10208339,1998-09-22,9609,51041,683180,-4.25
5000007,2016-12-15,7990,27126,879227,12.65
8918936,2007-12-24,1391,34654,984472,10.64
13518332,1960-02-03,8010,15454,63202,9.05
5000008,1982-04-14,6419,22671,283954,5.3
7515068,2014-09-16,4612,27266,547402,0.98
15081392,2015-10-23,7712,40080,521005,14.24
5000009,2013-09-28,6209,32913,390557,1.67
6863935,2012-03-24,7430,14934,367864,8.75
5000010,2022-05-01,8299,36223,633208,-3.78
5000011,2007-11-18,1107,21689,481397,0.94
5000012,2009-08-11,1721,52188,688917,4.82
4551495,2020-09-14,2811,29466,799517,11.88
13479436,2013-03-03,7990,49639,102550,-3.21
11545704,1992-12-17,8412,11594,999883,10.98
12099582,2011-04-24,6831,49389,143790,2.78
5000013,2005-01-03,4931,20870,498886,-0.24
5000014,2007-09-19,5630,04207,598234,0.1
6384517,2018-03-04,9311,22478,783353,6.74
5598422,2011-11-22,5630,11753,457165,13.47
14228458,2001-04-15,6831,35738,167255,-0.46
16206782,2000-05-06,3220,35489,971275,14.58
5000015,2015-11-24,8891,24461,484476,6.93
12007975,1982-05-08,9700,07839,319135,3.53
5000016,2004-03-27,6520,03284,400844,12.27
5000017,1998-12-21,8292,48428,752542,0.36
6409311,1992-07-09,6110,28219,820881,9.74
14059817,2016-01-14,6492,46648,594825,2.85
15493874,1984-08-11,2433,36446,979141,8.93
8772198,1996-09-03,7219,08513,550222,14.22
5106786,2000-08-06,8520,01124,272479,5.31
9572985,2009-12-29,1391,16499,687399,11.15
12550198,1991-02-03,9512,17274,263047,12.22
5000018,2012-04-25,6419,28157,455974,7.14
5166034,2015-05-02,7420,39441,521843,9.25
8265167,2018-10-20,3220,40414,380762,-4.57
6981752,2008-03-06,4724,34546,382983,6.15
5000019,1984-07-08,7732,46391,452766,-2.09
15806006,1995-06-02,9329,06182,116396,-1.11
